{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'classification',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.2370958782518563, "dev_loss": 2.9485073933998742, "epoch": 0, "train_acc": 0.16802755128653959, "train_loss": 3.2298572786518784}
{"dev_acc": 0.21350998494506113, "dev_loss": 2.8801716205974421, "epoch": 1, "train_acc": 0.20145715510548495, "train_loss": 2.973067850363059}
{"dev_acc": 0.23441424326038704, "dev_loss": 2.8341029025614262, "epoch": 2, "train_acc": 0.19743660914119257, "train_loss": 2.9166981529016964}
{"dev_acc": 0.23255980795310985, "dev_loss": 2.8183736242353916, "epoch": 3, "train_acc": 0.27329357466817938, "train_loss": 2.7425388283416874}
{"dev_acc": 0.25621180021788698, "dev_loss": 2.773581443975369, "epoch": 4, "train_acc": 0.31098003839857363, "train_loss": 2.566900492691603}
{"dev_acc": 0.24523859329032568, "dev_loss": 2.7518121488392353, "epoch": 5, "train_acc": 0.31065988717734044, "train_loss": 2.482922607758006}
{"dev_acc": 0.24199793115272525, "dev_loss": 2.7100258780022464, "epoch": 6, "train_acc": 0.42006955986876598, "train_loss": 2.2586153706566234}
{"dev_acc": 0.25627697068977423, "dev_loss": 2.6919467585782209, "epoch": 7, "train_acc": 0.41949447621907182, "train_loss": 2.1567759611567512}
{"dev_acc": 0.21842697683156007, "dev_loss": 2.6624143421649933, "epoch": 8, "train_acc": 0.46029051585659519, "train_loss": 2.0886453438977726}
{"dev_acc": 0.26099591527778104, "dev_loss": 2.6493653816481433, "epoch": 9, "train_acc": 0.5090858380840253, "train_loss": 2.0014156357186739}
{"dev_acc": 0.26661506640121851, "dev_loss": 2.6587171324839196, "epoch": 10, "train_acc": 0.53218363796483548, "train_loss": 1.9086571457933208}
{"dev_acc": 0.25578423239225617, "dev_loss": 2.649485862503449, "epoch": 11, "train_acc": 0.52536846780944157, "train_loss": 1.9017831785757033}
{"dev_acc": 0.26880317188592096, "dev_loss": 2.6264503598213196, "epoch": 12, "train_acc": 0.54677477906966654, "train_loss": 1.8161289112978294}
{"dev_acc": 0.27725248884922654, "dev_loss": 2.5865683952967324, "epoch": 13, "train_acc": 0.56968384000107442, "train_loss": 1.7592029350153247}
{"dev_acc": 0.297817880756513, "dev_loss": 2.5654328589638076, "epoch": 14, "train_acc": 0.56984886801556345, "train_loss": 1.7030705974177747}
{"dev_acc": 0.27820346528674916, "dev_loss": 2.5453725215047598, "epoch": 15, "train_acc": 0.5858857685499258, "train_loss": 1.6228159867593499}
{"dev_acc": 0.2886967903141297, "dev_loss": 2.5421855114400387, "epoch": 16, "train_acc": 0.60041748857160637, "train_loss": 1.5745166154792074}
{"dev_acc": 0.29740738711767151, "dev_loss": 2.539333488792181, "epoch": 17, "train_acc": 0.62640308616446549, "train_loss": 1.4872391291084837}
{"dev_acc": 0.29977047549624197, "dev_loss": 2.5213873808582625, "epoch": 18, "train_acc": 0.65615892840602441, "train_loss": 1.4915749801964056}
{"dev_acc": 0.3114906122386697, "dev_loss": 2.505047626172503, "epoch": 19, "train_acc": 0.63719338644424695, "train_loss": 1.4957191645183037}
{"dev_acc": 0.29808663375080724, "dev_loss": 2.4993705358356237, "epoch": 20, "train_acc": 0.63568315681633003, "train_loss": 1.4660854601591338}
{"dev_acc": 0.29676585143585638, "dev_loss": 2.5144530845185122, "epoch": 21, "train_acc": 0.65711133490556906, "train_loss": 1.4372240074711744}
{"dev_acc": 0.28038732317350173, "dev_loss": 2.5131614257891974, "epoch": 22, "train_acc": 0.65058497608046273, "train_loss": 1.4138323924214136}
{"dev_acc": 0.30633142496082061, "dev_loss": 2.5142418456574283, "epoch": 23, "train_acc": 0.65525408308304878, "train_loss": 1.3887491076879326}
{"dev_acc": 0.29805534720530169, "dev_loss": 2.4967498381932578, "epoch": 24, "train_acc": 0.66559617629674794, "train_loss": 1.3893973414221259}
{"dev_acc": 0.27615365036530642, "dev_loss": 2.4906075460215411, "epoch": 25, "train_acc": 0.68442295394069208, "train_loss": 1.2770438760167873}
{"dev_acc": 0.27669186308184374, "dev_loss": 2.5000682324171066, "epoch": 26, "train_acc": 0.67030305984691374, "train_loss": 1.2873447980334769}
{"dev_acc": 0.26908227199991869, "dev_loss": 2.473864103977879, "epoch": 27, "train_acc": 0.685210583110197, "train_loss": 1.2861934125053192}
