{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'classification',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.22528787848671591, "dev_loss": 2.9170588999986649, "epoch": 0, "train_acc": 0.13694253128147946, "train_loss": 3.2413139128294146}
{"dev_acc": 0.21732162397852603, "dev_loss": 2.9027911610901356, "epoch": 1, "train_acc": 0.17686600583253681, "train_loss": 3.0413381857950181}
{"dev_acc": 0.23270694610785969, "dev_loss": 2.845388188958168, "epoch": 2, "train_acc": 0.18601942925450585, "train_loss": 2.9525027763648111}
{"dev_acc": 0.24201807286226806, "dev_loss": 2.8385655830303826, "epoch": 3, "train_acc": 0.23725990676900235, "train_loss": 2.8315910032538119}
{"dev_acc": 0.26066853141276419, "dev_loss": 2.7764117438346148, "epoch": 4, "train_acc": 0.25382290230530968, "train_loss": 2.6624197813331105}
{"dev_acc": 0.26503676911779045, "dev_loss": 2.7506905992825827, "epoch": 5, "train_acc": 0.30392103086645694, "train_loss": 2.5987117466379384}
{"dev_acc": 0.24612355012245926, "dev_loss": 2.7065851961572966, "epoch": 6, "train_acc": 0.33447706482629042, "train_loss": 2.4501293594719935}
{"dev_acc": 0.26247586501772391, "dev_loss": 2.71731852615873, "epoch": 7, "train_acc": 0.3656888191221831, "train_loss": 2.3406934696631354}
{"dev_acc": 0.24004615569287377, "dev_loss": 2.6654534041881561, "epoch": 8, "train_acc": 0.44005303336829343, "train_loss": 2.183681614086276}
{"dev_acc": 0.24778990288562608, "dev_loss": 2.6447860281914473, "epoch": 9, "train_acc": 0.41873838364641047, "train_loss": 2.2607503982840993}
{"dev_acc": 0.26236521815677621, "dev_loss": 2.5792574783166251, "epoch": 10, "train_acc": 0.41398360421530478, "train_loss": 2.0894598179176205}
{"dev_acc": 0.2922844700127793, "dev_loss": 2.534754772981008, "epoch": 11, "train_acc": 0.47707264073339212, "train_loss": 2.0360957354795737}
{"dev_acc": 0.26643720973808244, "dev_loss": 2.5352402372906604, "epoch": 12, "train_acc": 0.45436713211162616, "train_loss": 1.9310805743835011}
{"dev_acc": 0.28249751280965951, "dev_loss": 2.4828843232244253, "epoch": 13, "train_acc": 0.48961220280787404, "train_loss": 1.9725539054049821}
{"dev_acc": 0.31263383838213971, "dev_loss": 2.4975360302875438, "epoch": 14, "train_acc": 0.56105645071836185, "train_loss": 1.8054502134318235}
{"dev_acc": 0.30020726893435495, "dev_loss": 2.4416175559163094, "epoch": 15, "train_acc": 0.53693179194768381, "train_loss": 1.8431984603893561}
{"dev_acc": 0.2926818910562009, "dev_loss": 2.4932349473237991, "epoch": 16, "train_acc": 0.55264603371442389, "train_loss": 1.7742196349274428}
{"dev_acc": 0.27469965754366082, "dev_loss": 2.4648448042571545, "epoch": 17, "train_acc": 0.60154070297912954, "train_loss": 1.6838966173226717}
{"dev_acc": 0.30620874428201528, "dev_loss": 2.4088958632200956, "epoch": 18, "train_acc": 0.58278156331013897, "train_loss": 1.6285437860633019}
{"dev_acc": 0.30615363498305254, "dev_loss": 2.4025938663010797, "epoch": 19, "train_acc": 0.60226668567982644, "train_loss": 1.6066591218113899}
{"dev_acc": 0.30750575127508367, "dev_loss": 2.4521213450158634, "epoch": 20, "train_acc": 0.58172704526134711, "train_loss": 1.5491546699471894}
