{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'classification',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.21624722640975491, "dev_loss": 2.9825471614797912, "epoch": 0, "train_acc": 0.14906960133438121, "train_loss": 3.212723970413208}
{"dev_acc": 0.21353698944351893, "dev_loss": 2.9343854834636054, "epoch": 1, "train_acc": 0.20513428263840974, "train_loss": 3.0820829497009026}
{"dev_acc": 0.2334037595330086, "dev_loss": 2.937023613601923, "epoch": 2, "train_acc": 0.18415450199821412, "train_loss": 2.9926329401672862}
{"dev_acc": 0.23279911095695191, "dev_loss": 2.8800017585357032, "epoch": 3, "train_acc": 0.23113614309807026, "train_loss": 2.9142846357626992}
{"dev_acc": 0.23751875619087337, "dev_loss": 2.8684177994728088, "epoch": 4, "train_acc": 0.24101140291589185, "train_loss": 2.7343892425787253}
{"dev_acc": 0.23485822501812251, "dev_loss": 2.8181925415992737, "epoch": 5, "train_acc": 0.27332332302445078, "train_loss": 2.6453052221751605}
{"dev_acc": 0.23208759388094394, "dev_loss": 2.805250565210978, "epoch": 6, "train_acc": 0.30353806645234943, "train_loss": 2.5577810572796182}
{"dev_acc": 0.24523926547271804, "dev_loss": 2.8001538751025996, "epoch": 7, "train_acc": 0.38686507608684007, "train_loss": 2.4226187066953688}
{"dev_acc": 0.25411763018407169, "dev_loss": 2.7707557417452335, "epoch": 8, "train_acc": 0.37787851186076077, "train_loss": 2.3489952146029864}
{"dev_acc": 0.22728707127673684, "dev_loss": 2.7510763766864934, "epoch": 9, "train_acc": 0.39680261630939406, "train_loss": 2.294210435425649}
{"dev_acc": 0.2461049385959109, "dev_loss": 2.7258671385546527, "epoch": 10, "train_acc": 0.43620707024866562, "train_loss": 2.1613616686863977}
{"dev_acc": 0.23367387252226132, "dev_loss": 2.7287800585230193, "epoch": 11, "train_acc": 0.44811941758957363, "train_loss": 2.098768798664945}
{"dev_acc": 0.24645562598735296, "dev_loss": 2.6961678167184195, "epoch": 12, "train_acc": 0.44595061674406578, "train_loss": 2.0595392531058829}
{"dev_acc": 0.24779466451696944, "dev_loss": 2.6901849073668322, "epoch": 13, "train_acc": 0.50371171317539809, "train_loss": 1.9386806605292148}
{"dev_acc": 0.26744627456103948, "dev_loss": 2.6678555818895497, "epoch": 14, "train_acc": 0.544197595826035, "train_loss": 1.8449630519894302}
{"dev_acc": 0.24784907649990759, "dev_loss": 2.6941673917075, "epoch": 15, "train_acc": 0.54388201706674755, "train_loss": 1.7404145608182813}
{"dev_acc": 0.27352823454056013, "dev_loss": 2.6656603701412678, "epoch": 16, "train_acc": 0.562508051784674, "train_loss": 1.7243894836636351}
{"dev_acc": 0.26772702715236413, "dev_loss": 2.6523133665323257, "epoch": 17, "train_acc": 0.56889061481954262, "train_loss": 1.7025568602515049}
