{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'classification',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.25167736467340079, "dev_loss": 2.8993268211682639, "epoch": 0, "train_acc": 0.1584861678368909, "train_loss": 3.1914900189540427}
{"dev_acc": 0.26003590007668614, "dev_loss": 2.8639803975820541, "epoch": 1, "train_acc": 0.23036040069270453, "train_loss": 2.8954515603722117}
{"dev_acc": 0.23190609534322873, "dev_loss": 2.7948065871993699, "epoch": 2, "train_acc": 0.23796308407446218, "train_loss": 2.7744216840775286}
{"dev_acc": 0.24093158883158924, "dev_loss": 2.7605317321916423, "epoch": 3, "train_acc": 0.26613496000152403, "train_loss": 2.5876807580228713}
{"dev_acc": 0.23730104736134428, "dev_loss": 2.7135580231746039, "epoch": 4, "train_acc": 0.29256021635670187, "train_loss": 2.5213063852708846}
{"dev_acc": 0.23914262937841935, "dev_loss": 2.6864110852281251, "epoch": 5, "train_acc": 0.38638911624636241, "train_loss": 2.3569785810884882}
{"dev_acc": 0.28447486008021516, "dev_loss": 2.63109240680933, "epoch": 6, "train_acc": 0.3943277838954321, "train_loss": 2.3225232480002229}
{"dev_acc": 0.28995082567151464, "dev_loss": 2.608527029554049, "epoch": 7, "train_acc": 0.41981028374731449, "train_loss": 2.15348170135842}
{"dev_acc": 0.29940290983084999, "dev_loss": 2.5879957526922226, "epoch": 8, "train_acc": 0.47304976404016197, "train_loss": 2.0591060851441054}
{"dev_acc": 0.30076154640549563, "dev_loss": 2.5547864033530154, "epoch": 9, "train_acc": 0.45545894081543525, "train_loss": 2.0428310886758272}
{"dev_acc": 0.33194621246456008, "dev_loss": 2.5121014459679523, "epoch": 10, "train_acc": 0.47026681756182404, "train_loss": 1.9624564541412182}
{"dev_acc": 0.31958673230703744, "dev_loss": 2.5253600499903164, "epoch": 11, "train_acc": 0.51441873824746842, "train_loss": 1.8932124166215052}
