{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.56594902026229221, "dev_loss": 0.66869241265313961, "epoch": 0, "train_acc": 0.73655988719970644, "train_loss": 0.75001678851586351}
{"dev_acc": 0.55221668691472892, "dev_loss": 0.68510561968599049, "epoch": 1, "train_acc": 0.80351756098559624, "train_loss": 0.63503466584259949}
{"dev_acc": 0.52789900828269698, "dev_loss": 0.69499951015625683, "epoch": 2, "train_acc": 0.82335796676207951, "train_loss": 0.58540136800913867}
{"dev_acc": 0.5661560655990503, "dev_loss": 0.7098805265767234, "epoch": 3, "train_acc": 0.83388567660603785, "train_loss": 0.52243503994202312}
{"dev_acc": 0.57967645742018148, "dev_loss": 0.7086839135736227, "epoch": 4, "train_acc": 0.84520592215774082, "train_loss": 0.47755273841793022}
{"dev_acc": 0.56712039030214301, "dev_loss": 0.75795799653444973, "epoch": 5, "train_acc": 0.85963856553319529, "train_loss": 0.41588861716887621}
{"dev_acc": 0.56176768359984364, "dev_loss": 0.79384080480251995, "epoch": 6, "train_acc": 0.86848000491713795, "train_loss": 0.40477849132841148}
{"dev_acc": 0.58848334115189671, "dev_loss": 0.75107357438121525, "epoch": 7, "train_acc": 0.87827757410020657, "train_loss": 0.36090968388922606}
{"dev_acc": 0.59551631078780509, "dev_loss": 0.74838587694934433, "epoch": 8, "train_acc": 0.88384167660746282, "train_loss": 0.32498050463397671}
{"dev_acc": 0.57122379469292495, "dev_loss": 0.75361529923975468, "epoch": 9, "train_acc": 0.89152117351882199, "train_loss": 0.30765476176232287}
{"dev_acc": 0.5918687772432103, "dev_loss": 0.74972985471997944, "epoch": 10, "train_acc": 0.89645968961578493, "train_loss": 0.28583948708528395}
{"dev_acc": 0.58217770184087814, "dev_loss": 0.81562070202614578, "epoch": 11, "train_acc": 0.90387732269407262, "train_loss": 0.26748469815872422}
{"dev_acc": 0.59968283713841786, "dev_loss": 0.81181866010384895, "epoch": 12, "train_acc": 0.90774743786041467, "train_loss": 0.25139558857381994}
{"dev_acc": 0.58448624531671067, "dev_loss": 0.80084837653807228, "epoch": 13, "train_acc": 0.90992536337618524, "train_loss": 0.24936795972664899}
{"dev_acc": 0.60207790093665248, "dev_loss": 0.76467164246631525, "epoch": 14, "train_acc": 0.91181848628399975, "train_loss": 0.23479271013454733}
{"dev_acc": 0.5713256722472686, "dev_loss": 0.7854748887808195, "epoch": 15, "train_acc": 0.91675970827240483, "train_loss": 0.22661398602148541}
{"dev_acc": 0.61653372007293428, "dev_loss": 0.78516447823494673, "epoch": 16, "train_acc": 0.92132333240852726, "train_loss": 0.21968522090450093}
{"dev_acc": 0.59984840940296635, "dev_loss": 0.80622503015079672, "epoch": 17, "train_acc": 0.9261887349632566, "train_loss": 0.2101119438663738}
{"dev_acc": 0.5698742864352726, "dev_loss": 0.79941707357232061, "epoch": 18, "train_acc": 0.9280708678341103, "train_loss": 0.20247232014109981}
{"dev_acc": 0.58052277878811209, "dev_loss": 0.81657167996412938, "epoch": 19, "train_acc": 0.92916475614744842, "train_loss": 0.19987859182896775}
{"dev_acc": 0.60995034556131011, "dev_loss": 0.79707838119273744, "epoch": 20, "train_acc": 0.9317158351082625, "train_loss": 0.18770880260964548}
{"dev_acc": 0.58557395855396055, "dev_loss": 0.82837104248548188, "epoch": 21, "train_acc": 0.93496627846108649, "train_loss": 0.18790899161720956}
{"dev_acc": 0.59372106468988484, "dev_loss": 0.84477668169087594, "epoch": 22, "train_acc": 0.93860328812446681, "train_loss": 0.18050801161016466}
{"dev_acc": 0.60663942755984535, "dev_loss": 0.87118080308261725, "epoch": 23, "train_acc": 0.94117506807620721, "train_loss": 0.17417782413017277}
{"dev_acc": 0.58382878458501508, "dev_loss": 0.77673881048602722, "epoch": 24, "train_acc": 0.92638495778703045, "train_loss": 0.23589465821374067}
{"dev_acc": 0.58083114228028976, "dev_loss": 0.81153918337076902, "epoch": 25, "train_acc": 0.92022877069917386, "train_loss": 0.23607058040694556}
{"dev_acc": 0.57244812152672075, "dev_loss": 0.84615640734721509, "epoch": 26, "train_acc": 0.92881721620355251, "train_loss": 0.20829850769324723}
{"dev_acc": 0.58277539550145596, "dev_loss": 0.84158284270337647, "epoch": 27, "train_acc": 0.93163962823088176, "train_loss": 0.19502185124338786}
{"dev_acc": 0.58729678495137627, "dev_loss": 0.84994027766931268, "epoch": 28, "train_acc": 0.93610917445423425, "train_loss": 0.18388036453117959}
{"dev_acc": 0.61202987755379901, "dev_loss": 0.86131681455299258, "epoch": 29, "train_acc": 0.9408800348093358, "train_loss": 0.17138732384580491}
{"dev_acc": 0.59132372183943416, "dev_loss": 0.8942282924628151, "epoch": 30, "train_acc": 0.94386827463823297, "train_loss": 0.16298135190124954}
{"dev_acc": 0.62381971130523972, "dev_loss": 0.90724318903604784, "epoch": 31, "train_acc": 0.94642133315455823, "train_loss": 0.15705308904046122}
{"dev_acc": 0.62981313769766278, "dev_loss": 0.95733478911487124, "epoch": 32, "train_acc": 0.94866193797602161, "train_loss": 0.15288980469170993}
{"dev_acc": 0.61866742649662498, "dev_loss": 0.88291512950257001, "epoch": 33, "train_acc": 0.94647000734483477, "train_loss": 0.1619990251757959}
{"dev_acc": 0.58595539828494692, "dev_loss": 0.91592627695562057, "epoch": 34, "train_acc": 0.95068706088013333, "train_loss": 0.15244687097832338}
{"dev_acc": 0.60804532687645085, "dev_loss": 0.91358853961407605, "epoch": 35, "train_acc": 0.95185411874079029, "train_loss": 0.14361497641395912}
